Sample_ID,Date of collection,Box,Sex,Phenotype,Weight,Time_of_weight,Mean,SD,N,SE,Note,
P146_NW17,17-Apr,146,M,Lw,0.573,W8,,,,,,
P146_NW18,17-Apr,146,M,Lw,0.596,W8,,,,,,
P146_NW21,17-Apr,146,M,Lw,0.489,W8,,,,,,
P146_NW22,17-Apr,146,M,Lw,0.536,W8,,,,,,
P146_NW23,17-Apr,146,M,Lw,0.509,W8,,,,,,
P146_NW24,29-Apr,146,M,Lw,0.519,W8,,,,,,
P146_NW26,29-Apr,146,M,Lw,0.556,W8,,,,,,
P146_NW27,29-Apr,146,M,Lw,0.586,W8,,,,,,
P145_NW4,29-Apr,145,M,Lw,0.685,W8,,,,,,
P152_NW1,01-May,152,M,Lw,0.638,W8,,,,,,
P152_NW2,01-May,152,M,Lw,0.591,W8,,,,,,
P152_NW4,01-May,152,M,Lw,0.503,W8,,,,,,
P152_NW5,01-May,152,M,Lw,0.572,W8,,,,,,
P152_NW7,01-May,152,M,Lw,0.559,W8,,,,,,
P152_NW8,01-May,152,M,Lw,0.673,W8,,,,,,
P152_NW9,01-May,152,M,Lw,0.577,W8,,,,,,
P152_NW10,10-May,152,M,Lw,0.568,W8,,,,,,
P152_NW11,10-May,152,M,Lw,0.462,W8,,,,,,
P152_NW12,10-May,152,M,Lw,0.545,W8,,,,,,
P152_NW13,10-May,152,M,Lw,0.544,W8,,,,,,
P152_NW14,10-May,152,M,Lw,0.532,W8,,,,,,
P152_NW15,10-May,152,M,Lw,0.634,W8,,,,,,
P152_NW16,10-May,152,M,Lw,0.517,W8,,,,,,
P152_NW17,10-May,152,M,Lw,0.607,W8,,,,,,
P152_NW19,10-May,152,M,Lw,0.649,W8,,,,,,
P145_NW6,14-May,145,M,Lw,0.590,W8,,,,,,
P146_NW1,05-Apr,146,M,Lw,0.340,W10,0.549,0.070,40,0.011,,
P146_NW3,05-Apr,146,M,Lw,0.530,W10,,,,,,
P145_NW2,14-Apr,145,M,Lw,0.568,W10,,,,,,
P145_NW3,14-Apr,145,M,Lw,0.431,W10,,,,,,
P146_NW5,17-Apr,146,M,Lw,0.543,W10,,,,,,
P146_NW6,17-Apr,146,M,Lw,0.480,W10,,,,,,
P146_NW7,17-Apr,146,M,Lw,0.548,W10,,,,,,
P146_NW8,17-Apr,146,M,Lw,0.571,W10,,,,,,
P146_NW10,17-Apr,146,M,Lw,0.555,W10,,,,,,
P146_NW11,17-Apr,146,M,Lw,0.502,W10,,,,,,
P146_NW12,17-Apr,146,M,Lw,0.627,W10,,,,,,
P146_NW14,17-Apr,146,M,Lw,0.510,W10,,,,,,
P146_NW15,17-Apr,146,M,Lw,0.527,W10,,,,,,
P146_NW16,17-Apr,146,M,Lw,0.519,W10,,,,,,
P146_NW17,17-Apr,146,M,Lw,0.540,W10,,,,,,
P146_NW18,17-Apr,146,M,Lw,0.581,W10,,,,,,
P146_NW21,17-Apr,146,M,Lw,0.487,W10,,,,,,
P146_NW22,17-Apr,146,M,Lw,0.519,W10,,,,,,
P146_NW23,17-Apr,146,M,Lw,0.501,W10,,,,,,
P146_NW24,29-Apr,146,M,Lw,0.453,W10,,,,,,
P146_NW26,29-Apr,146,M,Lw,0.568,W10,,,,,,
P146_NW27,29-Apr,146,M,Lw,0.594,W10,,,,,,
P145_NW4,29-Apr,145,M,Lw,0.708,W10,,,,,,
P152_NW1,01-May,152,M,Lw,0.632,W10,,,,,,
P152_NW2,01-May,152,M,Lw,0.502,W10,,,,,,
P152_NW4,01-May,152,M,Lw,0.491,W10,,,,,,
P152_NW5,01-May,152,M,Lw,0.596,W10,,,,,,
P152_NW7,01-May,152,M,Lw,0.563,W10,,,,,,
P152_NW8,01-May,152,M,Lw,0.671,W10,,,,,,
P152_NW9,01-May,152,M,Lw,0.597,W10,,,,,,
P152_NW10,10-May,152,M,Lw,0.582,W10,,,,,,
P152_NW11,10-May,152,M,Lw,0.487,W10,,,,,,
P152_NW12,10-May,152,M,Lw,0.564,W10,,,,,,
