Box_ID,Sample_ID,Morph,Sex,Phenotype,Muscle_type,Weight(Day0;g),Weight(Day14;g),Pronotum(mm),Ave_Wing_length(mm),Left_wing(mm),Right_wing(mm),W_Gonads(g),Egg_number,W_DLM(g),W_DVM(g),Color_DLM,,Note
B5,B5B_Lw_M3,Lw,M,Lw_M,Lw_M_White,0.441,0.471,3.65,13.06,13.1,13.01,0.0289,,0.0032,0.0215,White,,
B6,B6_Sw_F1,Sw,F,Sw_F,Sw_F_White,0.424,0.53,3.57,,,,0.1629,282,0.0011,0.019,White,,
B6,B6_Lw_F4,Lw,F,Lw_F,Lw_F_Pink or Red,0.474,0.577,3.86,13.47,13.45,13.48,0.1397,229,0.0105,0.0277,Pink or Red,,
B6,B6_Sw_M1,Sw,M,Sw_M,Sw_M_White,0.533,0.571,3.97,10.11,10.02,10.19,0.0305,,0.0037,0.0244,White,,
B6,B6_Lw_M1,Lw,M,Lw_M,Lw_M_White,0.566,0.609,4.09,13.93,13.86,13.99,0.027,,0.0037,0.025,White,,
B3,B3A_Sw_F6,Sw,F,Sw_F,Sw_F_White,0.499,0.629,3.67,9.11,9.17,9.05,0.2184,395,0.0021,0.0197,White,,
B3,B3A_Lw_F12,Lw,F,Lw_F,Lw_F_Pink or Red,0.538,0.546,3.88,13.12,13.1,13.14,0.0961,153,0.0144,0.0365,Pink or Red,,
B3,B3A_Sw_M7,Sw,M,Sw_M,Sw_M_White,0.472,0.545,3.77,9.73,9.7,9.75,0.0278,,0.0023,0.0258,White,,
B3,B3A_Lw_M16,Lw,M,Lw_M,Lw_M_White,0.471,0.522,3.65,13.2,13.3,13.1,0.0261,,0.0055,0.0219,White,,
B4,B4A_Sw_M4,Sw,M,Sw_M,Sw_M_White,0.434,0.405,3.51,9.27,9.47,9.07,0.022,,0.0019,0.0174,White,,
B4,B4A_Sw_M5,Sw,M,Sw_M,Sw_M_White,0.583,0.612,4.08,7.64,6.69,8.58,0.0335,,0.0039,0.0284,White,,
B4,B4A_Lw_M11-1,Lw,M,Lw_M,Lw_M_White,0.455,0.499,3.75,12.9,12.98,12.81,0.0281,,0.0043,0.0236,White,,
B4,B4A_Lw_M12,Lw,M,Lw_M,Lw_M_White,0.594,0.606,3.99,14.32,14.22,14.41,0.0267,,0.0058,0.0236,White,,
B5,B5A_Lw_F12,Lw,F,Lw_F,Lw_F_Pink or Red,0.541,0.623,3.91,13.45,13.47,13.42,0.1565,246,0.0134,0.0335,Pink or Red,,
B5,B5A_Sw_M12,Sw,M,Sw_M,Sw_M_White,0.542,0.592,3.79,10.09,10.35,9.82,0.0308,,0.0029,0.0258,White,,
B5,B5A_Lw_M8,Lw,M,Lw_M,Lw_M_Pink or Red,0.466,0.453,3.54,12.69,12.73,12.65,0.0248,,0.0103,0.0271,Pink or Red,,
B5,B5B_Sw_F6,Sw,F,Sw_F,Sw_F_White,0.474,0.556,3.65,8.86,8.86,,0.1894,322,0.0021,0.0201,White,,
B5,B5B_Lw_F8,Lw,F,Lw_F,Lw_F_Pink or Red,0.486,0.574,3.85,13.17,13.19,13.15,0.134,244,0.0147,0.0347,Pink or Red,,
B5,B5B_Sw_M9,Sw,M,Sw_M,Sw_M_White,0.457,0.487,3.56,9.28,9.35,9.21,0.0272,,0.0032,0.021,White,,
B6,B5B_Lw_M4,Lw,M,Lw_M,Lw_M_White,0.518,0.535,3.85,13.39,13.53,13.25,0.0297,,0.0067,0.0228,White,,
B6,B6_Sw_F2,Sw,F,Sw_F,Sw_F_White,0.452,0.639,3.73,8.59,8.59,,0.1982,365,0.0014,0.0192,White,,
B6,B6_Lw_F5,Lw,F,Lw_F,Lw_F_Pink or Red,0.505,0.614,3.79,12.93,12.97,12.88,0.1279,223,0.0119,0.0338,Pink or Red,,
B6,B6_Sw_M2,Sw,M,Sw_M,Sw_M_White,0.518,0.518,3.76,7.94,7.47,8.41,0.0269,,0.0028,0.0191,White,,
B6,B6_Lw_M2,Lw,M,Lw_M,Lw_M_Pink or Red,0.583,0.693,4.03,13.73,13.81,13.65,0.0285,,0.0119,0.032,Pink or Red,,
B6,B3A_Sw_F7,Sw,F,Sw_F,Sw_F_White,0.509,0.717,3.91,9.57,9.74,9.39,0.1962,317,0.007,0.0256,White,,
B4,B3A_Sw_M8,Sw,M,Sw_M,Sw_M_White,0.531,0.609,3.7,10.54,10.57,10.5,0.0357,,0.0019,0.0234,White,,
B5,B3A_Lw_M17,Lw,M,Lw_M,Lw_M_White,0.494,0.507,3.78,13.38,13.49,13.26,0.0254,,0.0042,0.0254,White,,
B4,B4A_Lw_M11-2,Lw,M,Lw_M,Lw_M_White,0.575,0.657,3.89,14.13,14.17,14.09,0.0254,,0.0026,0.0245,White,,
B6,B6_Sw_F3,Sw,F,Sw_F,Sw_F_White,0.432,0.574,3.26,9.27,9.26,9.28,0.1724,309,0.0021,0.0172,White,,
B6,B6_Lw_F6,Lw,F,Lw_F,Lw_F_Pink or Red,0.474,0.588,3.77,13.06,13.07,13.05,0.1201,190,0.0145,0.0329,Pink or Red,,
B6,B6_Sw_M3,Sw,M,Sw_M,Sw_M_White,0.6,0.602,4,9.83,9.89,9.76,0.0251,,0.0029,0.0258,White,,
B6,B6_Lw_M3,Lw,M,Lw_M,Lw_M_Pink or Red,0.392,0.431,3.51,12.47,12.46,12.47,0.018,,0.0063,0.0178,Pink or Red,,
B4,B4A_Sw_F1,Sw,F,Sw_F,Sw_F_White,0.494,0.711,4,9.55,9.79,9.31,0.2485,431,0.0009,0.0216,White,,
B4,B4A_Lw_F11,Lw,F,Lw_F,Lw_F_White,0.383,0.503,3.63,12.12,12.14,12.09,0.1526,257,0.0032,0.0154,White,,
B5,B5A_Lw_FZ_1,Lw,F,Lw_F,Lw_F_Pink or Red,0.503,0.53,3.71,13.95,13.95,,0.1091,205,0.0128,0.0311,Pink or Red,,
B5,B5A_Sw_FX1,Sw,F,Sw_F,Sw_F_White,0.453,0.7,3.87,9.04,9.07,9.01,0.2244,392,0.0007,0.0174,White,,
B5,B5A_Lw_F14,Lw,F,Lw_F,Lw_F_Pink or Red,0.49,0.557,3.58,12.69,12.68,12.7,0.1086,179,0.0113,0.0262,Pink or Red,,
B5,B5A_Lw_F15,Lw,F,Lw_F,Lw_F_Pink or Red,0.49,0.557,4,13.83,13.85,13.8,0.1529,262,0.0149,0.0372,Pink or Red,,
B5,B5A_Sw_F14,Sw,F,Sw_F,Sw_F_White,0.578,0.767,4.08,9.09,9.69,8.48,0.2481,420,0.0026,0.0199,White,,
B5,B5A_Sw_F15,Sw,F,Sw_F,Sw_F_White,0.566,0.685,3.96,9.63,9.95,9.31,0.2377,436,0.002,0.023,White,,
B6,B6_Lw_F7,Lw,F,Lw_F,Lw_F_Pink or Red,0.536,0.611,3.91,13.67,13.74,13.59,0.1352,221,0.0109,0.0255,Pink or Red,,
B6,B6_Lw_F8,Lw,F,Lw_F,Lw_F_Pink or Red,0.509,0.545,3.87,12.9,12.87,12.93,0.1484,232,0.0113,0.0303,Pink or Red,,
B6,B6_Sw_F4,Sw,F,Sw_F,Sw_F_White,0.498,0.63,3.83,8.56,,8.56,0.2093,398,0.0006,0.0164,White,,
B6,B6_Sw_F5,Sw,F,Sw_F,Sw_F_White,0.427,0.57,3.7,8.73,8.93,8.52,0.1991,363,0.0026,0.0194,White,,
B6,B6_Sw_F6,Sw,F,Sw_F,Sw_F_White,0.529,0.685,3.91,9.57,9.54,9.59,0.257,432,0.0021,0.0232,White,,
B6,B6_Sw_F7,Sw,F,Sw_F,Sw_F_White,0.55,0.717,3.87,8.84,8.84,,0.2337,382,0.0032,0.0266,White,,
B7,B7_Lw_F1,Lw,F,Lw_F,Lw_F_Pink or Red,0.424,0.472,3.62,12.07,12.05,12.08,0.0924,163,0.0116,0.0285,Pink or Red,,
B7,B7_Sw_F1,Sw,F,Sw_F,Sw_F_White,0.406,0.524,3.43,7.98,8.05,7.9,0.1877,335,0.0019,0.0162,White,,
B5,B5AB_Sw_F2,Sw,F,Sw_F,Sw_F_White,0.623,0.77,4.08,10.12,10.63,9.61,0.2644,429,0.0029,0.0249,White,,
B6,B6_24_Sw_F1,Sw,F,Sw_F,Sw_F_White,0.494,0.603,3.74,9.59,9.43,9.74,0.1991,346,0.0017,0.0183,White,,
