gene_id(stringtie),baseMean,log2FoldChange,lfcSE,pvalue,padj,Expression,Gene_Name,Gene_id(Genome)
MSTRG.6924,713.8410403,-0.077670651,0.088054061,0.302178863,0.444992834,Unchanged,,
TOC.6T.00230,1.903185826,-0.077665079,0.293604202,0.541582267,0.674899991,Unchanged,,
MSTRG.9205,47.70442884,-0.07760651,0.172183959,0.457010889,0.600147547,Unchanged,,
TOC.2T.00558,6.028459863,-0.077579893,0.385058983,0.567550537,0.69695196,Unchanged,,
MSTRG.6005,15251.03406,-0.077553963,0.023561378,0.000872121,0.003802747,Unchanged,,
MSTRG.9002,282.0342327,-0.077541093,0.280351503,0.535359677,0.669689013,Unchanged,,
TOC.2T.00481,9.704283793,-0.077426601,0.229687947,0.503718392,0.642047274,Unchanged,,
MSTRG.4654,2315.327119,-0.077338871,0.034741201,0.022529496,0.057242293,Unchanged,,
MSTRG.4427,3634.08529,-0.0771803,0.077612976,0.26116952,0.401250219,Unchanged,,
MSTRG.11073,4817.732883,-0.077154849,0.049226967,0.099687736,0.189502591,Unchanged,,
TOC.11T.00301,1.343616442,-0.077115038,0.330882466,0.559299853,0.69050612,Unchanged,,
MSTRG.8618,388.5546884,-0.07710164,0.155418462,0.443648506,0.588675471,Unchanged,,
MSTRG.10637,126.0807105,-0.077087127,0.111508623,0.376180707,0.522525564,Unchanged,,
MSTRG.3345,12883.32639,-0.077024693,0.039464849,0.043969008,0.098472449,Unchanged,,
MSTRG.5682,576.740796,-0.077013964,0.086597724,0.300669145,0.443500781,Unchanged,,
TOC.12T.00152,4.013078193,-0.077004121,0.327079363,0.558599259,0.690052256,Unchanged,,
MSTRG.6122,6522.172908,-0.076972026,0.053362661,0.126440273,0.229163196,Unchanged,,
MSTRG.5358,1900.491484,-0.076967888,0.053258854,0.125808209,0.228274956,Unchanged,,
TOC.5T.00320,14.90633998,-0.076934829,0.227286817,0.504592945,0.642856209,Unchanged,,
MSTRG.2730,1380.392545,-0.076893186,0.058414371,0.158307626,0.274422642,Unchanged,,
MSTRG.2401,2662.272912,-0.076893041,0.05198318,0.118144045,0.216939237,Unchanged,,
MSTRG.6410,1431.598943,-0.076891542,0.051731677,0.116567526,0.214534418,Unchanged,,
TOC.13T.00330,104.2800355,-0.076822845,0.126633993,0.407575899,0.553229658,Unchanged,,
TOC.4T.00286,4.659749956,-0.076765461,0.260044571,0.527488363,0.663248448,Unchanged,,
MSTRG.5734,31120.54228,-0.07672225,0.043650583,0.067710392,0.139514403,Unchanged,,
TOC.6T.01342,17.50368142,-0.076712089,0.156042934,0.446537156,0.590826447,Unchanged,,
MSTRG.7090,111.1640299,-0.076687983,0.147960786,0.437851585,0.582763062,Unchanged,,
MSTRG.9171,8142.262919,-0.076604088,0.075177914,0.253142518,0.3919516,Unchanged,,
MSTRG.8576,178.3932636,-0.076600128,0.069035613,0.221601243,0.354517889,Unchanged,,
MSTRG.5188,3339.698154,-0.076595837,0.032531496,0.016147066,0.043449796,Unchanged,,
MSTRG.11220,6022.197333,-0.076523053,0.044532789,0.073630005,0.148728193,Unchanged,,
MSTRG.2213,2377.732893,-0.076492207,0.042083811,0.059550823,0.125981333,Unchanged,,
MSTRG.5425,2359.62508,-0.0764163,0.258576403,0.528378612,0.663952428,Unchanged,,
MSTRG.7687,921.2853597,-0.076240731,0.05964348,0.169440237,0.288648032,Unchanged,,
MSTRG.8685,101.5437137,-0.076210822,0.123200288,0.405340628,0.551032942,Unchanged,,
TOC.233T.00001,1.760471017,-0.076199358,0.299633215,0.551708798,0.683441381,Unchanged,,
MSTRG.9394,319.7207949,-0.0761942,0.266335043,0.534233774,0.668800952,Unchanged,,
MSTRG.6686,915.1903959,-0.076138618,0.059289169,0.16783954,0.286711021,Unchanged,,
TOC.3T.01739,2.888397893,-0.076133863,0.502815478,0.557552035,0.688927268,Unchanged,,
MSTRG.1971,72.19158453,-0.076105258,0.230164729,0.511053513,0.648364111,Unchanged,,
MSTRG.1044,333.4649985,-0.076020624,0.102230513,0.35916855,0.50562227,Unchanged,,
MSTRG.7850,8817.333589,-0.076001897,0.048853899,0.102492845,0.193773283,Unchanged,,
TOC.5T.00081,97.55865385,-0.075921629,0.109833911,0.379482866,0.525930999,Unchanged,,
MSTRG.4475,6849.319386,-0.075749278,0.029343194,0.008616307,0.025894015,Unchanged,,
TOC.7T.00839,5.620183485,-0.075658887,0.217232015,0.504080255,0.642406653,Unchanged,,
MSTRG.3904,934.461264,-0.075629815,0.197468306,0.48915569,0.628913734,Unchanged,,
MSTRG.9132,13751.64043,-0.07552229,0.0455135,0.083535757,0.164514123,Unchanged,,
MSTRG.7225,14650.75849,-0.075509049,0.032455076,0.017465887,0.046369969,Unchanged,,
MSTRG.3264,4849.351669,-0.075492179,0.167113068,0.464332232,0.605821117,Unchanged,,
MSTRG.4793,28.19698129,-0.075329205,0.217046964,0.505726379,0.643690707,Unchanged,,
MSTRG.9327,15225.08049,-0.075268026,0.041783114,0.062000952,0.130089984,Unchanged,,
MSTRG.9007,5077.944685,-0.07522144,0.087769463,0.316607864,0.46058824,Unchanged,,
MSTRG.7008,765.2942058,-0.075189711,0.060459158,0.180440881,0.303267127,Unchanged,,
MSTRG.8277,2887.176689,-0.075183001,0.105214627,0.372575489,0.518817661,Unchanged,,
TOC.2T.00715,1.34218732,-0.0751805,0.323498083,0.56626898,0.696007389,Unchanged,,
TOC.13T.00328,1.693340733,-0.075165766,0.451033072,0.574851796,0.703046404,Unchanged,,
TOC.2T.00086,77.46993673,-0.075089474,0.175668265,0.47425522,0.615521103,Unchanged,,
MSTRG.5136,11105.77156,-0.075035939,0.05505659,0.147246,0.258822002,Unchanged,,
MSTRG.10550,6651.42587,-0.075032153,0.042247032,0.065554378,0.136068073,Unchanged,,
MSTRG.7334,6513.039144,-0.07496244,0.036841859,0.036489227,0.084963619,Unchanged,,
TOC.3T.02024,56.45411408,-0.074937256,0.13070498,0.425496208,0.570569477,Unchanged,,
TOC.11T.00318,2.545068647,-0.074909804,0.26733998,0.541444404,0.674832801,Unchanged,,
TOC.12T.00703,2.831122354,-0.074799742,0.281720548,0.549977144,0.681978446,Unchanged,,
MSTRG.662,4174.00363,-0.074787273,0.032777642,0.019709263,0.051226243,Unchanged,,
MSTRG.8186,3785.953771,-0.07471645,0.061348699,0.188665088,0.313914652,Unchanged,,
TOC.3T.02194,13.54024089,-0.074666018,0.163509414,0.465720859,0.607024602,Unchanged,,
MSTRG.4460,5188.574535,-0.074665734,0.052235614,0.130857745,0.235444362,Unchanged,,
MSTRG.2016,2424.528978,-0.074657047,0.065616519,0.214371459,0.346015893,Unchanged,,
MSTRG.6491,1321.828191,-0.074622524,0.111260956,0.390974701,0.536951502,Unchanged,,
MSTRG.4717,2283.427432,-0.074608725,0.050604334,0.120439036,0.220297932,Unchanged,,
MSTRG.4164,101.2917217,-0.074564124,0.349427435,0.576579842,0.704158807,Unchanged,,
TOC.6T.00158,1.100738634,-0.074541527,0.507576479,0.563319858,0.693602135,Unchanged,,
MSTRG.2638,823.8764713,-0.074480589,0.088330112,0.323532833,0.468441475,Unchanged,,
MSTRG.677,2634.795607,-0.074466955,0.045835295,0.09001152,0.174909984,Unchanged,,
TOC.1T.02552,12.2443322,-0.074433015,0.205947855,0.502309886,0.640912495,Unchanged,,
MSTRG.5025,29472.35301,-0.074424324,0.073373817,0.257920129,0.397397204,Unchanged,,
TOC.12T.00050,4.265609048,-0.074417621,0.27062942,0.545881147,0.678789735,Unchanged,,
MSTRG.7540,10467.81824,-0.074340276,0.051603124,0.128376471,0.231966385,Unchanged,,
MSTRG.944,2114.834611,-0.074318365,0.035774455,0.033010764,0.07818902,Unchanged,,
MSTRG.2493,1421.312802,-0.074293066,0.060893896,0.18839264,0.313623614,Unchanged,,
MSTRG.9264,6427.790947,-0.074252709,0.077832068,0.280756645,0.422068109,Unchanged,,
MSTRG.3507,4700.053832,-0.074249263,0.041048004,0.061255789,0.128774918,Unchanged,,
TOC.6T.00740,2.804781105,-0.074235718,0.391998718,0.58355911,0.709824737,Unchanged,,
TOC.12T.00956,110.3267957,-0.074201522,0.119701211,0.411276338,0.556795298,Unchanged,,
MSTRG.5552,7704.6769,-0.074197564,0.035381723,0.031484925,0.075303159,Unchanged,,
TOC.13T.00659,127.3467618,-0.074194407,0.184718641,0.486930881,0.626861615,Unchanged,,
MSTRG.5502,2.673308264,-0.074186995,0.263810362,0.543126577,0.676315679,Unchanged,,
MSTRG.10052,9221.546088,-0.074171372,0.045101881,0.086577895,0.169446062,Unchanged,,
