Not_Use,Generation,Order_by_Cross_Type,Off_Sex,Prop,Pair_ID,Female,Male,Mother,Father,Parental_genotype,Parental_phenotype,Mother_genotype,Cross_Type,Off_M,Off_Lw_M,Off_Sw_M,Off_F,Off_Lw_F,Off_Sw_F,Prop.Sw.M,Prop.Sw.F,Note
N,F10-F11,2,M,0.52,126,B4_Lw_F8,B4_Lw_M10,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),21,10,11,13,13,0,0.52,0,
N,F10-F11,2,F,0,126,B4_Lw_F8,B4_Lw_M10,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),21,10,11,13,13,0,0.52,0,
N,F10-F11,2,M,0.29,128,B4_Lw_F9,B3_Lw_M14,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),34,24,10,34,34,0,0.29,0,
N,F10-F11,2,F,0,128,B4_Lw_F9,B3_Lw_M14,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),34,24,10,34,34,0,0.29,0,
N,F10-F11,2,M,0.65,131,B3_Lw_F17,B3_Lw_M10,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),31,11,20,25,25,0,0.65,0,
N,F10-F11,2,F,0,131,B3_Lw_F17,B3_Lw_M10,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),31,11,20,25,25,0,0.65,0,
N,F10-F11,2,M,0.47,137,B3_Lw_F22,B2_Lw_M26,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),32,17,15,19,19,0,0.47,0,
N,F10-F11,2,F,0,137,B3_Lw_F22,B2_Lw_M26,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),32,17,15,19,19,0,0.47,0,
N,F10-F11,2,M,0.43,141,B4_Lw_F24,B3_Lw_M17,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),21,12,9,16,16,0,0.43,0,
N,F10-F11,2,F,0,141,B4_Lw_F24,B3_Lw_M17,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Lw(M)-Lw(F)(Hete),21,12,9,16,16,0,0.43,0,
N,F10-F11,3,M,0,78,B1_Lw_F7,B3_Sw_M6,Lw,Sw,Xs x XLXL,Sw(M) x Lw(F),Lw_Homo,Sw(M)-Lw(F)(Homo),64,64,0,33,33,0,0,0,
N,F10-F11,3,F,0,78,B1_Lw_F7,B3_Sw_M6,Lw,Sw,Xs x XLXL,Sw(M) x Lw(F),Lw_Homo,Sw(M)-Lw(F)(Homo),64,64,0,33,33,0,0,0,
N,F10-F11,3,M,0,121,B4_Lw_F15,B3_Sw_M9,Lw,Sw,Xs x XLXL,Sw(M) x Lw(F),Lw_Homo,Sw(M)-Lw(F)(Homo),36,36,0,32,32,0,0,0,
N,F10-F11,3,F,0,121,B4_Lw_F15,B3_Sw_M9,Lw,Sw,Xs x XLXL,Sw(M) x Lw(F),Lw_Homo,Sw(M)-Lw(F)(Homo),36,36,0,32,32,0,0,0,
N,F10-F11,3,M,0,135,B4_Lw_F25,B3_Sw_F17,Lw,Sw,Xs x XLXL,Sw(M) x Lw(F),Lw_Homo,Sw(M)-Lw(F)(Homo),37,37,0,44,44,0,0,0,
